Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1991-08-13 00:00:00,0.1038,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5192,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,1.0385,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,2.0769,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,3.1154,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,4.1539,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,5.1923,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,6.2308,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,7.2692,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,8.3077,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,9.3461,25.6288,N
DENSITY (kgm-3),1991-08-13 00:00:00,10.3846,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,11.4231,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,12.4615,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,13.5,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,14.5385,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,15.5769,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,16.6154,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,17.6538,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,18.6923,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,19.7308,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,20.7692,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,21.8077,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,23.8846,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,24.9231,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,25.9615,25.632,N
DENSITY (kgm-3),1991-08-13 00:00:00,27.0,25.632,N
DENSITY (kgm-3),1991-08-14 00:00:00,0.0964,25.598,N
DENSITY (kgm-3),1991-08-14 00:00:00,0.4821,25.598,N
DENSITY (kgm-3),1991-08-14 00:00:00,0.9643,25.598,N
DENSITY (kgm-3),1991-08-14 00:00:00,1.9286,25.598,N
DENSITY (kgm-3),1991-08-14 00:00:00,2.8929,25.598,N
DENSITY (kgm-3),1991-08-14 00:00:00,3.8571,25.6012,N
DENSITY (kgm-3),1991-08-14 00:00:00,4.8214,25.6012,N
DENSITY (kgm-3),1991-08-14 00:00:00,5.7857,25.6012,N
DENSITY (kgm-3),1991-08-14 00:00:00,6.75,25.6012,N
DENSITY (kgm-3),1991-08-14 00:00:00,7.7143,25.6012,N
DENSITY (kgm-3),1991-08-14 00:00:00,8.6786,25.6012,N
DENSITY (kgm-3),1991-08-14 00:00:00,9.6429,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,10.6071,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,11.5714,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,12.5357,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,13.5,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,14.4643,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,15.4286,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,16.3929,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,17.3571,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,18.3214,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,19.2857,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,20.25,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,21.2143,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,22.1786,25.6243,N
DENSITY (kgm-3),1991-08-14 00:00:00,23.1429,25.6277,N
DENSITY (kgm-3),1991-08-14 00:00:00,24.1071,25.6277,N
DENSITY (kgm-3),1991-08-14 00:00:00,25.0714,25.6277,N
