Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-27 00:00:00,0.1,25.2152,N
DENSITY (kgm-3),1992-03-27 00:00:00,0.5,25.2152,N
DENSITY (kgm-3),1992-03-27 00:00:00,1.0,25.2152,N
DENSITY (kgm-3),1992-03-27 00:00:00,2.0,25.2152,N
DENSITY (kgm-3),1992-03-27 00:00:00,3.0,25.2152,N
DENSITY (kgm-3),1992-03-27 00:00:00,4.0,25.2152,N
DENSITY (kgm-3),1992-03-27 00:00:00,5.0,25.2152,N
DENSITY (kgm-3),1992-03-27 00:00:00,6.0,25.2152,N
DENSITY (kgm-3),1992-03-27 00:00:00,7.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,8.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,9.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,10.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,11.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,12.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,13.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,14.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,15.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,16.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,17.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,18.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,19.0,25.2208,N
DENSITY (kgm-3),1992-03-27 00:00:00,20.0,25.2208,N
